time,title,content,author,link
16:07 21 Aug,Domino's Pizza signals closure of Russian business,"The franchise owner of Domino's in Russia has signalled it will close its branches there as it announced it will place the business into bankruptcy. DP Eurasia said it would end attempts to sell the pizza chain's shops in the country due to an ""increasingly challenging environment"". Many Western firms have cut ties with Russia since the invasion of Ukraine and introduction of economic sanctions. But some, including Domino's, have faced criticism for not exiting. DP Eurasia has 171 Domino's Pizza shops in Russia. It owns 68 of the sites, while 103 are franchised to local operators. On Monday, DP Eurasia said in a London Stock Exchange announcement that it had decided its subsidiary in Russia, DP Russia, should file for bankruptcy, rather than seek a buyer. ""With the increasingly challenging environment, DP Russia's immediate holding company is now compelled to take this step, which will bring about the termination of the attempted sale process of DP Russia as a going concern and, inevitably, the group's presence in Russia,"" it said. The firm previously said it was ""evaluating its presence"" in Russia following sanctions being imposed. As well as owning Domino's franchises in Russia, DP Eurasia has master franchise rights for the brand in Turkey, Russia, Azerbaijan and Georgia. The Russian economy has been targeted by a raft of sanctions since the outbreak of war in Ukraine in February 2022.  Many companies that are household names decided to close their operations in the immediate aftermath of the invasion. Pressure was also mounted on big brands such as McDonald's and Coca-Cola to act.  There has also been ongoing criticism for the ones which have continued business. Unilever is one company that has defended its decision to keep operating in Russia, with the maker of Dove soap and Cornetto ice cream arguing that it is ""not straightforward"" as its operations would be taken over by the Russian state if it abandoned them. The Moral Rating Agency, which campaigns for Western firms to leave Russia, has claimed the Unilever was contributing Â£579m to the Russian economy annually. Domino's Pizza Inc, the American multi-national business and master franchisor, told the BBC that through its subsidiary companies, it stopped providing ""any support for the Russian market in early 2022"".",Michael Race,https://www.bbc.com/news/business-66574219
12:28 21 Aug,Gas prices rise on fears of strikes in Australia,"The prospect of a possible strike at a liquefied natural gas (LNG) plant in Australia has pushed wholesale gas prices up in Europe. The Offshore Alliance union warned that a strike at the North West Shelf facility could start as early as 2 September if no deal on pay is reached. Benchmark gas prices for the EU and UK rose around 10% on Monday, according to Bloomberg. Prices soared after Russia's invasion of Ukraine but have since fallen. There are fears that strike action at Woodside Energy Group's North West Shelf facility could cause disruption to shipments of LNG from Australia, which is a key global supplier. Workers at two other offshore LNG facilities, Gorgon and Wheatstone, operated by Chevron, are also voting on strike action, with results expected on Thursday. Together the three plants make up about 10% of the world's supply of LNG. Ben McWilliams, an affiliate fellow at the think tank Bruegel, warned the strikes might impact the prices globally of LNG. Speaking to the BBC's Newsday programme earlier this month, Mr McWilliams said: ""Australia typically supplies Asia, but if these strikes were to go ahead, and Australian gas were cut to Asian consumers, we would see Asian consumers turning around and looking, for example, to Qatar and competing with European buyers there."" Mr McWilliams said that if that were to happen there would be a ""knock-on effect on prices"". Following the start of the war in Ukraine, Russia slashed supplies of natural gas to Europe, which led countries to seek out alternative sources of energy. Many countries are relying on LNG to fill the gap. Australia is one of the world's largest exporters of LNG. The others are Qatar and the US. Last week, Cornwall Insight predicted that higher gas prices resulting from the Australian uncertainty would contribute to a significant rise in the Ofgem price cap in January.  It forecast a cap of Â£2,082.56 for a typical annual household bill for the first quarter of 2024, a rise from its Â£1,925.71 forecast for the fourth quarter of 2023. ",Ben King & Noor Nanji,https://www.bbc.com/news/business-66571542
14:53 20 Aug,Aid worker 'humbled' by Ukraine soldiers' messages,"An air worker who moved to Ukraine has told of how front-line soldiers sent him video messages of thanks for the parcels they received. Steve Hodgson, from Tebay, Cumbria, left the UK to join his fiancÃ©e Natasha and work for a charity in Ukraine. He sent parcels to soldiers fighting in Bakhmut and said he received ""the most unbelievably amazing response."" ""These guys are doing the fighting and dying, and I'm just a delivery driver who goes nowhere near,"" he said. Mr Hodgson has spent the last year delivering aid from the UK, including medical supplies for hospitals and nurseries. He has since sold-up, quit his job as a tree surgeon and joined his fiancÃ©e in Odessa, in the south of the country. Mr Hodgson, who has now travelled to Uzhhorod in Western Ukraine, has also recorded an audio diary for BBC Radio Cumbria. The 52-year-old described the messages from the soldiers as ""very emotional and humbling to watch"".   ""[It was] short, nothing fancy, just a simple video from these guys, being bombed by Russia, as they speak to me, saying thank you for the boots, thank you for the clothes, thank you for the medicines.  ""It's incredibly emotional and incredibly hard to sometimes process. ""I will keep helping where I can and do everything I can - these guys are doing the fighting and dying. That makes every single little problem I encounter irrelevant."" Follow BBC North East & Cumbria on Twitter, Facebook and Instagram. Send your story ideas to northeastandcumbria@bbc.co.uk.",,https://www.bbc.com/news/uk-england-cumbria-66564715
12:16 20 Aug,Ukraine drone injures 5 at train station - Russia,"Russia says that a Ukrainian drone has struck a railway station in the Kursk region, injuring five people. Another drone is said to have landed in the Rostov region - which shares a border with Ukraine, like Kursk - but no injuries were reported. Russia also said it stopped a drone that was heading for Moscow, which then crashed in an unpopulated area.  Allegations of drone strikes inside Russia have become increasingly common in recent months.  Although Ukraine hasn't claimed responsibility for specific drone strikes, President Volodymyr Zelensky has previously said that attacks on Russian territory are an ""inevitable, natural and absolutely fair process"". Footage verified by the BBC shows smashed windows and a fire burning at the railway station in Kursk, which is about 150 km (93 miles) from the Ukrainian border. Five people were injured by glass fragments, Russia's RIA Novosti news agency reported. The roof, exterior, and platform of the station were damaged.  The Russian foreign ministry said it ""strongly condemns"" the drone attack in Kursk.  ""Ukrainian nationalists literally dealt a blow to our common history,"" ministry spokeswoman Maria Zakharova said in a statement. In its own statement, Russia's defence ministry said it had ""thwarted"" an ""attempt by the Kyiv regime to carry out a terrorist attack by drone on infrastructure in Moscow"" around 04:00 local time (01:00 GMT). The Moscow-bound drone was destroyed by ""electronic warfare"" before losing control and crashing in an unpopulated area, the ministry added. Russia's aviation agency Rosaviatsia said flights to the Domodedovo and Vnukovo international airports were ""temporarily limited"" as a result.  It comes after seven people, including a six-year-old girl, were killed when a Russian missile struck a theatre in the northern Ukrainian city of Chernihiv on Saturday. Fifteen children were among 148 people wounded, officials said.  President Zelensky vowed to ""respond to Russia for this terrorist attack - a tangible answer"".  Sign up for our morning newsletter and get BBC News in your inbox.",George Wright,https://www.bbc.com/news/world-europe-66563675
12:06 20 Aug,Fire after alleged drone strike on Russia station,,,https://www.bbc.com/news/world-europe-66563440
7:00 20 Aug,Paintings of refugees 'show hosts' generosity',"A Ukrainian artist who paints family portraits for refugees to give to UK hosts is ""immortalising"" Britons' generosity, she says.  Olha Son, who went to Cornwall when she arrived in the UK, was asked for paintings to thank people's hosts.  The 35-year-old's art shows Britons sheltering Ukrainian refugees with a Union flag-decorated umbrella.  She also said she felt she was ""doing something important"", partly showing the impact of the war in Ukraine. Ms Son said she started painting five years ago when she was diagnosed with depression and initially painted still-life images, before receiving a message from a fellow Ukrainian refugee asking for a gift for their host family.  She brainstormed ideas for the painting, which was ""easy"" because she ""was in an identical situation as my customer and I knew what it feels like to feel what they feel"".  Since then, she has had commissions from other refugees who wanted to thank their hosts. She said: ""It's like immortalising this phenomena of a British family who made a decision to open their doors to strangers from a different country, a different culture, in order to help in such a devastating situation as the war."" One couple who received a painting from the Ukrainian family living with them for some months was Kevin Kennedy Ryan, 33, and Jessica Ryan Smith 32, from Sheffield.  The couple gave them a painting showing their two families, painted by Ms Son, which Mr Kennedy Ryan said left them ""speechless"" and ""drove home some of the reality of the situation"".  The British couple offered their home to refugees before Russia invaded Ukraine and said: ""It's not necessarily about refugees from Ukraine or any one particular area.  ""We all have this humanity that we share together."" Follow BBC News South West on Twitter, Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk",,https://www.bbc.com/news/uk-england-cornwall-66544735
23:37 19 Aug,"Seven dead, 144 injured in strike on Ukraine theatre","Seven people, including a six-year-old girl, were killed when a Russian missile struck a theatre in the northern Ukrainian city of Chernihiv on Saturday morning, officials have said. Fifteen children were among 144 people wounded, the police said. At least 25 people were in hospital. Among the victims were people who had been celebrating an Orthodox Christian holiday at church. A main square and a university building were also damaged in the attack. The UN called it ""heinous"", while Ukrainian President Volodymyr Zelensky vowed a firm response by Ukrainian soldiers to a ""terrorist attack"".  Chernihiv is located about 50km (31 miles) south of Ukraine's border with Belarus. It was besieged by Russian troops in the first few months of President Vladimir Putin's full-scale invasion launched in February 2022. The city's imposing theatre was hit directly. Tiles were blown off the roofs of neighbouring buildings with one catching fire 100 metres away. The theatre was hosting a gathering of drone manufacturers, the acting mayor of Chernihiv told the BBC. ""I understand that their aim was a military event taking place in the building of the drama theatre and that it was their target,"" Oleksandr Lomako said.  ""But it is clear that the Russians launching those missiles and those giving them orders in the middle of the day to the civilian city realised that the victims will be primarily civilians. ""There is no other way to interpret it than a war crime against civilians, yet another Russian war crime,"" he added. Ukrainian Interior Minister Ihor Klymenko later said all those inside the theatre had managed to reach shelter in time.  He said that ""most of the victims were in their vehicles or crossing the road at the time of the rocket strike, as well as returning from a church"". The city centre of Chernihiv is a popular area for people to stroll around, especially on the weekend, locals told the BBC. Anna Zahreba, the manager of a Crimean Tatar restaurant just across the street from the theatre, said her staff were getting ready for a busy day when the missile hit.  ""I ran outside to see what was going on,"" she said. ""There were two 12-year-old girls here and a lot of blood. One had her leg badly wounded. Another girl was screaming. ""We applied a tourniquet and waited for an ambulance. It was taking a long time to get here, but some man stopped his car and we took a girl to a hospital.""  Anna says staff rushed to help injured people with medical kit and blankets.  ""There are always many people walking around here, with children and baby strollers. Many restaurants and cafes in the area,"" she tells us.  ""We did not expect a day like this.""  In his video address late on Saturday, President Zelensky said the child killed in the Russian strike was a girl named Sofia.  Earlier, he said that Russia had turned an ""ordinary Saturday"" into ""a day of pain and loss"". The UN said it was ""extremely disturbed"" by the attack. ""It is heinous to attack the main square of a large city, in the morning, while people are out walking, some going to the church to celebrate a religious day for many Ukrainians,"" Denise Brown, the current head of the UN in Ukraine, said in a statement. ""Attacks directed against civilians or civilian objects are strictly prohibited under international humanitarian law,"" she said. ""It must stop."" Three days of mourning have been announced in the city.  Moscow is yet to comment. Elsewhere, Russia has claimed that a Ukrainian drone hit a military airfield in the northwest Novgorod region, causing a fire that was quickly put out. One plane was damaged but no casualties have been reported, it added.  Ukraine has not commented on the alleged drone attack.  Meanwhile, Kyiv's air force said the Ukrainian military had shot down 15 out of 17 Iranian-made Shahed drones launched by Moscow in an overnight strike.",Ukraine correspondent James Waterhouse & George Wright,https://www.bbc.com/news/world-europe-66554412
23:00 18 Aug,Cat and dog influencers help Ukrainians cope with war," From fundraising to detecting explosives, cats and dogs have been helping Ukrainians deal with the devastating impact of Russia's invasion. Patron, the mine-sniffing dog, is one of them. He works for Ukraine's state emergency service - but his mine-clearance skills and apparently disarming charisma have also earned him hundreds of thousands of followers online.  He and a number of other animals - some real, some cartoon - have been offering emotional support and posting practical advice on their social media accounts.  This ranges from guidance on how to deal with difficult feelings caused by war to tips on what to do when you see an explosive device. Through his work, Patron has met numerous dignitaries and celebrities visiting Kyiv, including Lord of the Rings star Orlando Bloom, UK Prime Minister Rishi Sunak and Canada's Prime Minister Justin Trudeau. Ukraine's postal service has printed stamps featuring the canine hero, who has also been awarded a medal for ""dedicated service"" by President Volodymyr Zelensky. Patron's owner and handler, Mykhaylo Ilyev, says his meetings with foreign dignitaries have helped Ukraine's emergencies services secure donations of crucial mine-clearing equipment.  The Jack Russell terrier has been involved in raising funds for people affected by war, particularly his colleagues injured while clearing mines. He has taken part in charity collections for animals too.  ""Our little friends are going through a rough time after being abandoned or injured. We realise that they also want to live and that they need help,"" Mr Ilyev tells the BBC. Patron's account on Instagram offers not just pictures of the charismatic dog, but also hope, inspiration and advice for Ukrainians facing the horrors of war. ""Hope matters. We hope that this will be over soon. We hope that victory is near. We hope that people won't be killed anymore. Sometimes hope is all we've got,"" reads one of his posts.  ""Don't lose hope, I'm begging you. Now, let me give you a hopeful lick!"" Patron also features in a cartoon series educating children about the dangers posed by unexploded munitions. Despite his celebrity status, Patron is still doing his mine-sniffing day job, Mr Ilyev says. Stepan the cat hails from Saltivka, a district in Ukraine's second-largest city of Kharkiv that has been badly damaged by Russian shelling. Before the war, Stepan was just another incredibly cute cat from the internet. But since Russia's full-scale invasion, his Instagram account started offering more than just pictures - it started to comment on the war.  It has now switched to Ukrainian, too, even though it previously used Russian, which was widely spoken in parts of the east and south. Many people across Ukraine did the same after Russia invaded. ""We've all changed mentally after seeing what sort of thing this 'Russian world' really is,"" Stepan's owner Anna tells the BBC, referring to a concept promoted by Russia to justify intervention abroad ostensibly in support of Russian speakers. ""Ukrainian is part of my life and the life of my country and nation,"" she says. Stepan's account, which has 1.3m followers on Instagram, has used its popularity to help animals who have suffered in the war. Last year, he helped raise almost 15,000 euros (Â£12,900) which was spent on food, medicine and other care for them.  After the destruction of the Kakhovka Dam in southern Ukraine in June, the cat helped collect funds for the evacuation of animals from flooded areas.  His account was also involved in a collection to repair a library damaged by shelling in Kharkiv. But it is not just about the money for Stepan's account. ""He has been offering support to people, particularly children, so that they can forget the horrors of this war at least for a little while. That's why there is a bit of humour in his posts,"" Anna says. Stepan also tackles the realities of war in his posts, including this one: ""Oh how I want my country to win as soon as possible! So that there is peace for which people on the front line have sacrificed their lives. So that there are no more missiles, so that people and animals stop dying."" People are more receptive to advice if it looks as though it is coming from a fluffy pet, says Olena Pavlova, who created a cartoon character called Inzhyr the cat. ""A cat picture travels much further than just words. I've seen it many times,"" she tells me. ""Pictures and memes featuring cats can help deliver a lot of important ideas. They're easier to absorb. Cat pictures help us cope."" ""Inzhyr the cat is a natural anti-depressant. I created him to make myself and also my readers feel better. He's positive, cuddly and nice, and he's helping people find hope and light inside themselves,"" Ms Pavlova says. Inzhyr's accounts on social media encourage Ukrainians to read more books and offer advice on issues such as fundraising, burnout and why everyone should be like a cat. ""Cats waste no effort, but are determined in achieving their goals,"" one of his posts reads. Sound words of advice for anyone, whether at war or not.",Vitaly Shevchenko,https://www.bbc.com/news/world-europe-66509999
22:56 18 Aug,US allows allies to give Ukraine F-16 war planes,"The US has approved the transfer to Ukraine of American-made F-16 fighter jets from Denmark and the Netherlands when Ukrainian pilots are fully trained to operate them.  ""This way, Ukraine can take full advantage of its new capabilities,"" a US state department spokesman said. Ukraine praised the decision it had been pushing hard for since last year. But it is expected to be months before Kyiv will be able to use F-16s to try to counter Russia's air superiority. The Dutch are thought to have about 24 operational F-16s which are scheduled to be taken out of service and replaced by more advanced war planes. Denmark is also planning an upgrade of its fleet of some 30 F-16s. The US and its allies had earlier ruled out providing F-16s to Ukraine, fearing that this would lead to further escalation with a nuclear-armed Russia. Russia - which launched a full-scale invasion of Ukraine in February 2022 - has so far made no public comment on the issue. Both Denmark and the Netherlands had been given ""formal assurances"" for the transfer of their multi-role F-16 war planes, the US state department spokesman said. The spokesman added that this would happen ""as soon as the first set of pilots complete their training"". Dutch Foreign Minister Wopke Hoekstra welcomed the US decision, saying that ""this marks a major milestone for Ukraine to defend its people and its country"". ""Now we will further discuss the subject with our European partners,"" he wrote in a post on X, formerly known as Twitter. Danish Defence Minister Jakob Ellemann-Jensen echoed his words.  ""The government has said several times that a donation is a natural next step after training. We are discussing it with close allies,"" he told Denmark's Ritzau news agency. In Ukraine, Defence Minister Oleksii Reznikov described the US decision as ""great news"".  ""Our military has proven it is filled with fast learners. We will soon prove that Ukraine's victory is inevitable. Thank you to all our partners and friends in the United States, the Netherlands and Denmark. Onward to Victory!"" he wrote on X. An 11-member coalition of Ukraine's allies in the West is due to start training Ukrainian pilots later this month and they are expected to be ready next year. Earlier this week, Ukraine's Air Force spokesman Yuriy Ihnat admitted that Kyiv would not be able to operate F-16s this coming autumn and winter. The F-16 Fighting Falcon is widely considered one of the world's most reliable fighter jets. It can be armed with precision-guided missiles and bombs and is able to fly at 1,500mph (2,400km/h), according to the US Air Force. The F-16's targeting capabilities would allow Ukraine to attack Russian forces in all weather conditions and at night with greater accuracy. Ukraine is believed to have dozens of combat aircraft - mostly MiGs - all dating from the Soviet era, and the country is currently badly outgunned by Russia in the air. Kyiv needs modern war planes to help protect its skies from regular deadly Russian missile and drone attacks, and also to support its counter-offensive in southern and eastern Ukraine that has so far yielded limited results.",Jaroslav Lukiv,https://www.bbc.com/news/world-europe-66551478
19:25 18 Aug,Russia sanctions UK politicians and journalists,"Russia has banned 54 British nationals and people working for UK organisations from entering the country in retaliation for UK sanctions on its citizens, its foreign ministry says. They include Culture Secretary Lucy Frazer and International Criminal Court chief prosecutor Karim Khan. A number of journalists from the BBC, the Daily Telegraph and the Guardian are also on the list. The BBC said it would ""continue to report independently and fairly"". The Russian foreign ministry said the move was in response to ""the aggressive implementation by London of a hostile anti-Russian course"". Ms Frazer was sanctioned for ""actively lobbying for the international sports isolation of Russia"", while Minister of State for Defence Annabel Goldie was described as being ""responsible for the supply of weapons to Ukraine"". In March the International Criminal Court issued an arrest warrant for Russian President Vladimir Putin, accusing him of the war crime of illegally deporting children from Ukraine, which Moscow denies. Mr Khan told the BBC at the time: ""Children can't be treated as the spoils of war, they can't be deported."" The BBC journalists include chief executive Deborah Turness, presenter and analysis editor Ros Atkins and disinformation and social media correspondent Marianna Spring. The Russian foreign ministry said it would continue to expand its ""stop list"". Russia has already barred a number of British journalists and defence figures as well as hundreds of elected British MPs. In June last year, the BBC's Clive Myrie and Orla Guerin were among journalists who have reported from Ukraine to be banned. BBC director general Tim Davie was also on the list.  The UK is among Western countries to have sanctioned Russia in response to its full-scale invasion of Ukraine in February 2022.  These include a ban on the import of goods from Russia such as diamonds, oil and gas.  Earlier this month, the British government announced what it described as the ""largest ever UK action"" targeting Russia's access to foreign military supplies.. More than 1,000 Russian businesses and individuals have been sanctioned by the US, EU, UK and other countries.",Kathryn Armstrong,https://www.bbc.com/news/world-europe-66548488
